BBDD;ID_ANYO;EDAD;SEX;POLIZAS;EXPOSICION;SINIESTROS
Ahorro;2009;93;V;31;20,030136986;3
Ahorro;2009;94;M;53;34,309589041;5
Ahorro;2009;94;V;23;14,775342466;2
Ahorro;2009;95;M;33;22,523287671;4
Ahorro;2009;95;V;14;11,224657534;2
Ahorro;2009;96;M;31;22,994520548;4
Ahorro;2009;96;V;10;5,9205479452;2
Ahorro;2009;97;M;14;11,320547945;0
Ahorro;2009;97;V;5;3,7589041096;1
Ahorro;2009;98;M;18;11,945205479;5
Ahorro;2009;98;V;7;3,9232876712;0
Ahorro;2009;99;M;7;6,1232876712;0
Ahorro;2009;99;V;2;2,0000000000;0
Ahorro;2009;100;M;3;2,0054794521;1
Ahorro;2009;100;V;1;0,0027397260;0
Ahorro;2009;101;V;1;1,0000000000;0
Ahorro;2009;102;M;1;0,8219178082;0
Ahorro;2009;102;V;1;0,7917808219;0
Ahorro;2009;105;V;1;1,0000000000;0
Ahorro;2009;106;M;1;1,0000000000;0
Ahorro;2009;121;M;1;1,0000000000;0
Ahorro;2010;16;M;1;0,0136986301;0
Ahorro;2010;16;V;6;0,5643835616;0
Ahorro;2010;17;M;3;2,0794520548;0
Ahorro;2010;17;V;1;0,7616438356;0
Ahorro;2010;18;M;38;10,334246575;0
Ahorro;2010;18;V;52;15,323287671;0
Ahorro;2010;19;M;119;72,917808219;0
Ahorro;2010;19;V;107;68,873972603;0
Ahorro;2010;20;M;194;145,65753425;0
Ahorro;2010;20;V;188;150,71780822;0
Ahorro;2010;21;M;223;172,20273973;0
Ahorro;2010;21;V;249;187,95342466;0
Ahorro;2010;22;M;341;262,09041096;0
Ahorro;2010;22;V;347;269,56986301;0
Ahorro;2010;23;M;375;280,32328767;0
Ahorro;2010;23;V;399;306,90958904;0
Ahorro;2010;24;M;481;355,72054795;0
Ahorro;2010;24;V;437;346,65479452;0
Ahorro;2010;25;M;608;458,04931507;0
Ahorro;2010;25;V;585;443,98904110;0
Ahorro;2010;26;M;727;546,64109589;0
Ahorro;2010;26;V;675;504,32328767;0
Ahorro;2010;27;M;800;614,68219178;0
Ahorro;2010;27;V;785;597,98082192;1
Ahorro;2010;28;M;956;740,60000000;0
Ahorro;2010;28;V;837;639,28493151;0
Ahorro;2010;29;M;1058;831,70410959;0
Ahorro;2010;29;V;1023;807,43013699;1
Ahorro;2010;30;M;1185;928,35616438;0
Ahorro;2010;30;V;1013;787,61917808;0
Ahorro;2010;31;M;1330;1023,7506849;0
Ahorro;2010;31;V;1202;910,38082192;0
Ahorro;2010;32;M;1497;1158,9945205;0
Ahorro;2010;32;V;1397;1086,5369863;0
Ahorro;2010;33;M;1583;1233,0109589;1
Ahorro;2010;33;V;1649;1266,3534247;0
Ahorro;2010;34;M;1691;1309,5424658;0
Ahorro;2010;34;V;1638;1284,2849315;0
Ahorro;2010;35;M;1829;1430,9397260;0
Ahorro;2010;35;V;1848;1438,3205479;0
Ahorro;2010;36;M;1912;1484,7095890;0
Ahorro;2010;36;V;1948;1552,6575342;1
Ahorro;2010;37;M;2013;1573,8356164;0
Ahorro;2010;37;V;2018;1555,7616438;0
Ahorro;2010;38;M;2163;1694,5616438;2
Ahorro;2010;38;V;2245;1763,9178082;1
Ahorro;2010;39;M;2191;1736,7068493;0
Ahorro;2010;39;V;2344;1853,6246575;2
Ahorro;2010;40;M;2382;1859,0246575;1
Ahorro;2010;40;V;2564;2003,7506849;0
Ahorro;2010;41;M;2374;1879,5753425;1
Ahorro;2010;41;V;2614;2062,1452055;3
Ahorro;2010;42;M;2631;2046,9643836;1
Ahorro;2010;42;V;2681;2093,1561644;0
Ahorro;2010;43;M;2804;2224,0465753;0
Ahorro;2010;43;V;2884;2211,9260274;0
Ahorro;2010;44;M;2713;2140,2986301;0
Ahorro;2010;44;V;2899;2221,5698630;1
Ahorro;2010;45;M;2885;2270,9890411;1
Ahorro;2010;45;V;3117;2411,5041096;1
Ahorro;2010;46;M;3146;2439,2602740;7
Ahorro;2010;46;V;3380;2583,3698630;1
Ahorro;2010;47;M;3023;2377,2328767;1
Ahorro;2010;47;V;3431;2642,0301370;6
Ahorro;2010;48;M;3140;2472,2986301;2
Ahorro;2010;48;V;3328;2612,1260274;1
Ahorro;2010;49;M;3220;2504,4136986;0
Ahorro;2010;49;V;3343;2578,0904110;3
Ahorro;2010;50;M;3202;2470,1671233;3
Ahorro;2010;50;V;3593;2777,3835616;3
Ahorro;2010;51;M;3374;2583,5780822;2
Ahorro;2010;51;V;3633;2814,7835616;7
Ahorro;2010;52;M;3441;2645,6356164;3
Ahorro;2010;52;V;3713;2851,1397260;4
Ahorro;2010;53;M;3465;2672,8520548;0
Ahorro;2010;53;V;3853;2960,2794521;9
Ahorro;2010;54;M;3280;2524,5232877;1
Ahorro;2010;54;V;3578;2741,8219178;3
Ahorro;2010;55;M;3347;2576,1753425;3
Ahorro;2010;55;V;3852;2966,9753425;7
Ahorro;2010;56;M;3378;2596,7205479;4
Ahorro;2010;56;V;3438;2654,5835616;11
Ahorro;2010;57;M;3371;2609,0082192;3
Ahorro;2010;57;V;3610;2760,4219178;5
Ahorro;2010;58;M;3351;2568,3095890;7
Ahorro;2010;58;V;3805;2911,9945205;12
Ahorro;2010;59;M;3267;2549,8383562;5
Ahorro;2010;59;V;3817;2965,9479452;7
Ahorro;2010;60;M;3018;2371,6958904;3
Ahorro;2010;60;V;3752;2920,9808219;10
Ahorro;2010;61;M;3121;2454,8164384;2
Ahorro;2010;61;V;3712;2974,9260274;10
Ahorro;2010;62;M;3198;2585,0328767;5
Ahorro;2010;62;V;3851;3144,0849315;13
Ahorro;2010;63;M;2726;2235,7671233;6
Ahorro;2010;63;V;3386;2768,2630137;10
Ahorro;2010;64;M;2632;2160,8739726;4
Ahorro;2010;64;V;3248;2650,3506849;9
Ahorro;2010;65;M;2784;2206,2000000;4
Ahorro;2010;65;V;3246;2560,0109589;14
Ahorro;2010;66;M;2386;1893,9150685;2
Ahorro;2010;66;V;2757;2170,4904110;14
Ahorro;2010;67;M;1991;1613,1287671;5
Ahorro;2010;67;V;2313;1856,9753425;13
Ahorro;2010;68;M;1650;1313,0684932;8
Ahorro;2010;68;V;1966;1582,0328767;14
Ahorro;2010;69;M;1440;1136,1397260;6
Ahorro;2010;69;V;1649;1332,8821918;11
Ahorro;2010;70;M;1713;1380,3397260;16
Ahorro;2010;70;V;1917;1499,1369863;13
Ahorro;2010;71;M;1071;877,04657534;6
Ahorro;2010;71;V;1098;864,12602740;5
Ahorro;2010;72;M;1159;924,68493151;7
Ahorro;2010;72;V;1281;1009,7835616;18
Ahorro;2010;73;M;1278;1029,2931507;4
Ahorro;2010;73;V;1285;995,56438356;11
Ahorro;2010;74;M;1405;1142,6821918;12
Ahorro;2010;74;V;1349;1092,2684932;17
Ahorro;2010;75;M;1357;1078,8849315;7
Ahorro;2010;75;V;1221;971,43287671;9
Ahorro;2010;76;M;1284;1025,2164384;10
Ahorro;2010;76;V;1248;1011,1123288;19
Ahorro;2010;77;M;1136;906,82465753;11
Ahorro;2010;77;V;1139;906,65205479;15
Ahorro;2010;78;M;1281;1055,5424658;15
Ahorro;2010;78;V;1081;845,90684932;24
Ahorro;2010;79;M;1031;846,69863014;9
Ahorro;2010;79;V;1028;814,02191781;21
Ahorro;2010;80;M;1116;895,70136986;12
Ahorro;2010;80;V;877;709,37260274;21
Ahorro;2010;81;M;951;767,69863014;14
Ahorro;2010;81;V;748;585,02465753;30
Ahorro;2010;82;M;802;634,51780822;14
Ahorro;2010;82;V;649;501,22465753;17
Ahorro;2010;83;M;698;560,69589041;7
Ahorro;2010;83;V;630;507,88219178;14
Ahorro;2010;84;M;668;526,31780822;17
Ahorro;2010;84;V;446;340,38904110;24
Ahorro;2010;85;M;626;512,80821918;19
Ahorro;2010;85;V;419;341,12054795;16
Ahorro;2010;86;M;519;412,57534247;26
Ahorro;2010;86;V;382;306,35342466;27
Ahorro;2010;87;M;432;347,85753425;4
Ahorro;2010;87;V;249;205,89863014;13
Ahorro;2010;88;M;398;305,59178082;16
Ahorro;2010;88;V;240;183,26575342;23
Ahorro;2010;89;M;278;220,86575342;15
Ahorro;2010;89;V;195;155,24931507;11
Ahorro;2010;90;M;210;176,35068493;6
Ahorro;2010;90;V;133;103,84383562;11
Ahorro;2010;91;M;134;105,35616438;8
Ahorro;2010;91;V;83;62,621917808;15
Ahorro;2010;92;M;142;108,73698630;11
Ahorro;2010;92;V;55;42,857534247;7
Ahorro;2010;93;M;82;67,783561644;5
Ahorro;2010;93;V;55;40,158904110;8
Ahorro;2010;94;M;63;45,621917808;6
Ahorro;2010;94;V;28;20,120547945;4
Ahorro;2010;95;M;50;29,561643836;12
Ahorro;2010;95;V;24;18,865753425;1
Ahorro;2010;96;M;33;25,084931507;4
Ahorro;2010;96;V;13;11,241095890;1
Ahorro;2010;97;M;24;21,106849315;1
Ahorro;2010;97;V;8;6,5835616438;1
Ahorro;2010;98;M;13;11,345205479;2
Ahorro;2010;98;V;3;2,8657534247;0
Ahorro;2010;99;M;12;9,6027397260;1
Ahorro;2010;99;V;7;3,2547945205;3
Ahorro;2010;100;M;5;5,0000000000;0
Ahorro;2010;100;V;2;1,4849315068;1
Ahorro;2010;101;M;4;2,5698630137;0
